year;sex;age;pop;immig;emig;born;dead
2002;1;99;144;2;0;0;88
2002;1;100;170;0;1;0;134
2002;2;0;46751;385;144;0;119
2002;2;1;45055;802;261;0;27
2002;2;2;44731;500;227;0;5
2002;2;3;44131;478;212;0;9
2002;2;4;44239;421;211;0;3
2002;2;5;44976;434;206;0;4
2002;2;6;47531;461;218;0;5
2002;2;7;51001;409;211;0;3
2002;2;8;55739;434;222;0;2
2002;2;9;58183;440;211;0;3
2002;2;10;60720;403;195;0;8
2002;2;11;61924;427;153;0;5
2002;2;12;62781;380;151;0;5
2002;2;13;59300;348;144;0;3
2002;2;14;57632;340;119;1;2
2002;2;15;54877;347;103;9;9
2002;2;16;53400;345;92;23;9
2002;2;17;51824;364;96;86;14
2002;2;18;49804;413;99;164;6
2002;2;19;48835;627;318;308;19
2002;2;20;49553;854;413;522;21
2002;2;21;50367;937;410;781;18
2002;2;22;51943;942;447;1101;12
2002;2;23;51571;1022;441;1267;16
2002;2;24;50363;1054;421;1511;7
2002;2;25;51727;1095;510;1879;10
2002;2;26;53244;1082;514;2301;13
2002;2;27;56138;1033;550;2873;19
2002;2;28;59225;1051;583;3340;16
2002;2;29;58924;939;543;3542;9
2002;2;30;60130;950;511;3785;28
2002;2;31;60695;882;491;3886;18
2002;2;32;59354;808;475;3466;24
2002;2;33;58506;734;385;2989;27
2002;2;34;61703;698;412;2735;15
2002;2;35;64770;611;351;2541;31
2002;2;36;65639;605;349;2021;26
2002;2;37;65898;572;321;1659;36
2002;2;38;66365;543;308;1253;40
2002;2;39;61304;453;282;960;42
2002;2;40;58893;438;284;596;25
2002;2;41;57315;392;221;415;47
2002;2;42;56917;386;175;288;47
2002;2;43;57133;293;162;155;59
2002;2;44;57127;303;166;100;58
2002;2;45;58448;292;128;43;57
2002;2;46;58113;265;126;13;70
2002;2;47;57951;251;112;6;98
2002;2;48;56715;236;127;4;97
2002;2;49;58026;204;120;5;110
2002;2;50;57868;186;105;0;116
2002;2;51;57458;191;91;0;141
2002;2;52;59653;192;104;0;128
2002;2;53;62248;161;96;0;142
2002;2;54;64510;168;99;0;188
2002;2;55;64922;164;77;0;212
2002;2;56;65455;147;114;0;235
2002;2;57;64539;137;74;0;283
2002;2;58;63214;122;78;0;272
2002;2;59;59409;101;69;0;294
2002;2;60;54006;100;61;0;285
2002;2;61;48221;94;53;0;315
2002;2;62;45800;113;61;0;270
2002;2;63;46320;99;52;0;273
2002;2;64;44570;94;56;0;318
2002;2;65;42312;78;50;0;344
2002;2;66;41348;75;57;0;340
2002;2;67;39164;52;45;0;399
2002;2;68;38555;51;41;0;440
2002;2;69;37621;41;29;0;443
2002;2;70;39019;38;31;0;561
2002;2;71;38671;33;27;0;653
2002;2;72;39357;42;49;0;651
2002;2;73;37701;27;32;0;682
2002;2;74;38609;25;36;0;805
2002;2;75;37089;34;22;0;855
2002;2;76;37170;19;31;0;923
2002;2;77;37215;37;26;0;1075
2002;2;78;36516;23;25;0;1242
2002;2;79;35608;17;15;0;1390
2002;2;80;34557;18;16;0;1596
2002;2;81;35585;18;21;0;1799
